#! Accepted divergences from conformance/builtin-arity.tsv.
#! Every row needs a reason. `baseline` is the unmigrated backlog and is
#! ratcheted by BASELINE_LIMIT in crates/zeo/tests/builtin_arity.rs -- that
#! number may only go down. Regenerate with `ZEO_BLESS=1 cargo nextest run
#! -p zeo --test builtin_arity`.
#! tag	class	kind	name	reason
zeo-only	CGI	s	escape	no escape in CRuby's chain
zeo-only	CGI	s	escapeHTML	no escapeHTML in CRuby's chain
zeo-only	CGI	s	escapeURIComponent	no escapeURIComponent in CRuby's chain
zeo-only	CGI	s	escape_html	no escape_html in CRuby's chain
zeo-only	CGI	s	escape_uri_component	no escape_uri_component in CRuby's chain
zeo-only	CGI	s	unescape	no unescape in CRuby's chain
zeo-only	CGI	s	unescapeHTML	no unescapeHTML in CRuby's chain
zeo-only	CGI	s	unescapeURIComponent	no unescapeURIComponent in CRuby's chain
zeo-only	CGI	s	unescape_html	no unescape_html in CRuby's chain
zeo-only	CGI	s	unescape_uri_component	no unescape_uri_component in CRuby's chain
zeo-only	Digest	s	bubblebabble	no bubblebabble in CRuby's chain
zeo-only	Digest::MD5	i	<<	no << in CRuby's chain
zeo-only	Digest::MD5	i	base64digest	no base64digest in CRuby's chain
zeo-only	Digest::MD5	i	block_length	no block_length in CRuby's chain
zeo-only	Digest::MD5	i	bubblebabble	no bubblebabble in CRuby's chain
zeo-only	Digest::MD5	i	digest	no digest in CRuby's chain
zeo-only	Digest::MD5	i	digest_length	no digest_length in CRuby's chain
zeo-only	Digest::MD5	i	hexdigest	no hexdigest in CRuby's chain
zeo-only	Digest::MD5	i	length	no length in CRuby's chain
zeo-only	Digest::MD5	i	reset	no reset in CRuby's chain
zeo-only	Digest::MD5	i	size	no size in CRuby's chain
zeo-only	Digest::MD5	i	update	no update in CRuby's chain
zeo-only	Digest::MD5	s	base64digest	no base64digest in CRuby's chain
zeo-only	Digest::MD5	s	digest	no digest in CRuby's chain
zeo-only	Digest::MD5	s	hexdigest	no hexdigest in CRuby's chain
zeo-only	IO	i	bytes	no bytes in CRuby's chain
zeo-only	IO	i	chars	no chars in CRuby's chain
zeo-only	IO	i	chmod	no chmod in CRuby's chain
zeo-only	IO	i	chown	no chown in CRuby's chain
zeo-only	IO	i	codepoints	no codepoints in CRuby's chain
zeo-only	IO	i	flock	no flock in CRuby's chain
zeo-only	IO	i	lstat	no lstat in CRuby's chain
zeo-only	IO	i	mtime	no mtime in CRuby's chain
zeo-only	IO	i	pipe?	no pipe? in CRuby's chain
zeo-only	IO	i	size	no size in CRuby's chain
zeo-only	IO	i	truncate	no truncate in CRuby's chain
zeo-only	Kernel	i	__id__	no __id__ in CRuby's chain
zeo-only	Method	i	()	no () in CRuby's chain
zeo-only	Module	i	inherited	no inherited in CRuby's chain
zeo-only	Module	i	subclasses	no subclasses in CRuby's chain
zeo-only	Module	i	superclass	no superclass in CRuby's chain
zeo-only	ObjectSpace	s	allocation_class_path	no allocation_class_path in CRuby's chain
zeo-only	ObjectSpace	s	allocation_generation	no allocation_generation in CRuby's chain
zeo-only	ObjectSpace	s	allocation_method_id	no allocation_method_id in CRuby's chain
zeo-only	ObjectSpace	s	allocation_sourcefile	no allocation_sourcefile in CRuby's chain
zeo-only	ObjectSpace	s	allocation_sourceline	no allocation_sourceline in CRuby's chain
zeo-only	ObjectSpace	s	count_imemo_objects	no count_imemo_objects in CRuby's chain
